0,eboletines,epdf,esismet,esophi,ehoy
ascencion de guarayos,175.0,164.0,76.0,59100142.0,
bermejo,394.0,416.0,104.0,59100143.0,
camiri,315.0,157.0,136.0,59100144.0,34.0
charana,230.0,329.0,197.0,59100077.0,
cobija,41.0,227.0,246.0,59100145.0,65.0
cochabamba,223.0,110.0,249.0,59100034.0,58.0
concepcion,196.0,,268.0,59100146.0,41.0
el alto,201.0,289.0,332.0,59100149.0,46.0
magdalena,114.0,13.0,576.0,59100152.0,42.0
oruro,242.0,196.0,654.0,59100133.0,31.0
potosi,293.0,408.0,740.0,59100155.0,29.0
puerto suarez,289.0,163.0,767.0,59100156.0,52.0
reyes,140.0,3.0,799.0,59100157.0,35.0
riberalta,43.0,17.0,800.0,59100158.0,33.0
robore,268.0,151.0,814.0,59100159.0,36.0
rurrenabaque,141.0,5.0,821.0,59100124.0,37.0
san borja,152.0,6.0,859.0,59100165.0,
san ignacio de moxos,153.0,16.0,869.0,59100166.0,
san ignacio de velasco,207.0,177.0,870.0,59100168.0,43.0
san javier,195.0,182.0,875.0,59100167.0,
san joaquin,104.0,14.0,876.0,59100161.0,0.0
san matias,210.0,149.0,897.0,59100169.0,
san ramon,109.0,15.0,912.0,59100162.0,
el trompillo,245.0,147.0,1052.0,59100150.0,51.0
viru viru,244.0,179.0,1129.0,59100175.0,62.0
sucre,284.0,57.0,975.0,59100000.0,
tarija,364.0,435.0,1003.0,59100172.0,56.0
trinidad,154.0,0.0,1051.0,59100173.0,60.0
villamontes,345.0,446.0,1121.0,59100136.0,32.0
yacuiba,365.0,452.0,1140.0,59100177.0,30.0
villa serrano,,25.0,1118.0,59100065.0,55.0
incahuasi,,40.0,452.0,59100033.0,54.0
el villar,,71.0,371.0,59100025.0,63.0
tomina,,76.0,1038.0,59100063.0,59.0
villa alcala,,77.0,1105.0,59100066.0,61.0
pasorapa,,98.0,699.0,59100095.0,20.0
ivirgarzama,,106.0,473.0,59100037.0,64.0
sacabamba,,126.0,823.0,59100125.0,26.0
san jose de chiquitos,,152.0,878.0,59100170.0,44.0
orinoca,,219.0,650.0,59100043.0,15.0
san roque,,293.0,913.0,59100059.0,47.0
colcha k,,386.0,255.0,59100082.0,7.0
san juan del rosario,,390.0,887.0,59100126.0,5.0
pasajes,,422.0,696.0,59100097.0,6.0
rodeo,,423.0,815.0,59100123.0,17.0
zurita,,428.0,1162.0,59100140.0,8.0
huacata,,430.0,418.0,59100185.0,18.0
san jacinto,,433.0,373.0,59100183.0,10.0
