fecha,estacion,viento_direccion,viento_velocidad,temperatura,temperatura_de_rocio,humedad_relativa,presion_atmosferica,precipitacion
2021-03-11 00:00:00-04:00,Alalay (GPRS),E,5.7,5.9,2.5,78.0,644.4,0.0
2021-03-11 00:00:00-04:00,Aroma (GPRS),SSE,0.0,8.1,0.2,57.3,652.6,0.0
2021-03-11 00:00:00-04:00,Chachacomani-Batallas (GPRS),ESE,0.0,3.7,2.2,89.1,624.0,0.0
2021-03-11 00:00:00-04:00,Chipayas - GPRS,,219.6,8.8,,41.3,14.2,0.0
2021-03-11 00:00:00-04:00,Cochabamba,E,3.0,16.0,8.0,58.6,751.4,
2021-03-11 00:00:00-04:00,Colcha-K (GPRS),WNW,3.3,8.0,1.6,63.6,649.5,0.0
2021-03-11 00:00:00-04:00,Comarapa (GPRS),WNW,1.1,14.5,12.5,87.2,818.0,0.0
2021-03-11 00:00:00-04:00,Cuatro Cañadas (GPRS),N,0.4,21.8,,92.5,978.0,0.0
2021-03-11 00:00:00-04:00,Cuevo (GPRS),N,0.4,-39.6,-82.5,0.4,,0.0
2021-03-11 00:00:00-04:00,El Alto,E,5.0,4.0,3.0,92.6,630.2,
2021-03-11 00:00:00-04:00,El Tranque (GPRS),N,0.0,9.6,8.8,94.4,709.2,0.0
2021-03-11 00:00:00-04:00,El Villar (GPRS),NNE,0.0,14.8,13.5,90.8,791.3,0.0
2021-03-11 00:00:00-04:00,Huacata_M (GPRS),N,6.2,10.4,,95.5,726.2,0.0
2021-03-11 00:00:00-04:00,Incahuasi (GPRS),SSW,0.4,8.4,8.1,97.5,717.3,0.0
2021-03-11 00:00:00-04:00,Ivirgarzama-Senda VI (GPRS),ESE,0.4,23.7,19.0,74.7,504.3,0.0
2021-03-11 00:00:00-04:00,La Angostura_M (GPRS),SSW,0.0,12.3,8.2,75.8,740.3,0.0
2021-03-11 00:00:00-04:00,Laguna Tuni - GPRS,ESE,0.5,0.8,,90.8,548.1,0.0
2021-03-11 00:00:00-04:00,Laykakota-GPRS,,,8.4,,80.0,665.7,0.0
2021-03-11 00:00:00-04:00,Linkupata_M (GPRS),N,3.3,4.1,,78.7,628.7,0.0
2021-03-11 00:00:00-04:00,Orinoca - UTO (GPRS),S,7.7,8.6,-0.3,53.3,644.4,0.0
2021-03-11 00:00:00-04:00,Pailon (GPRS),N,2.1,23.3,,85.3,976.0,0.0
2021-03-11 00:00:00-04:00,Parotani - Sipe Sipe (GPRS),NNW,0.7,11.3,,81.7,754.4,0.0
2021-03-11 00:00:00-04:00,Pasajes (GPRS),E,1.2,4.8,5.0,100.0,,0.0
2021-03-11 00:00:00-04:00,Pasorapa (GPRS),NNE,1.9,15.1,11.4,77.8,777.8,0.0
2021-03-11 00:00:00-04:00,Peña Amarilla - GPRS,NNW,4.8,9.0,3.3,66.9,,0.0
2021-03-11 00:00:00-04:00,Presa Calderas_M (GPRS),W,1.6,13.9,,87.4,784.2,0.0
2021-03-11 00:00:00-04:00,Presa El Peral_M (GPRS),SE,1.8,10.6,,88.1,741.3,0.0
2021-03-11 00:00:00-04:00,Presa Yana Khakha_M (GPRS),SSW,0.4,7.9,,91.6,707.4,0.0
2021-03-11 00:00:00-04:00,Quila Quila_M (GPRS),NW,0.7,8.7,,79.6,716.7,0.0
2021-03-11 00:00:00-04:00,Quillacas (GPRS),C,0.0,53.0,43.5,61.7,667.3,0.0
2021-03-11 00:00:00-04:00,Ravelo_M (GPRS),NNW,1.1,6.5,,95.9,691.7,0.0
2021-03-11 00:00:00-04:00,Rodeo (GPRS),SSW,2.8,5.6,4.5,92.0,,0.0
2021-03-11 00:00:00-04:00,S Pedro - Rio Victoria (GPRS),NW,0.4,23.4,,94.1,985.0,0.0
2021-03-11 00:00:00-04:00,Sacabamba (GPRS),E,1.5,8.0,6.9,91.6,,0.0
2021-03-11 00:00:00-04:00,San Jacinto_M (GPRS),NNE,0.2,12.7,,96.3,809.0,0.0
2021-03-11 00:00:00-04:00,San Juan del Rosario (GPRS),,0.0,7.4,-0.2,58.3,651.0,0.0
2021-03-11 00:00:00-04:00,San Julian (GPRS),N,1.0,22.0,,94.1,980.0,0.0
2021-03-11 00:00:00-04:00,San Roque - El Alto (GPRS),N,0.0,5.5,2.7,81.9,633.6,0.0
2021-03-11 00:00:00-04:00,Santa Rosa - GPRS,NNE,1.9,13.7,4.1,52.0,,0.0
2021-03-11 00:00:00-04:00,Sucre - GPRS,,0.8,11.9,,-50.1,70.4,0.0
2021-03-11 00:00:00-04:00,Tacagua_M (GPRS),NE,4.6,6.3,,74.2,649.8,0.0
2021-03-11 00:00:00-04:00,Tapacari (GPRS),N,0.2,8.7,,83.2,722.3,0.0
2021-03-11 00:00:00-04:00,Tiraque_M (GPRS),N,1.6,5.2,,67.7,688.6,0.0
2021-03-11 00:00:00-04:00,Toledo (GPRS),W,7.9,9.7,-0.7,48.2,655.2,0.0
2021-03-11 00:00:00-04:00,Toma Ravelo_H (GPRS),NNW,1.1,6.5,,95.9,691.7,0.0
