estacion,fecha_ultima_actualizacion
Chimeo-Villa Montes (GPRS),2020-11-21 01:00:00-04:00
Huacaya (GPRS),2021-02-14 18:00:00-04:00
Santa Rosa - GPRS,2021-03-17 01:15:00+00:00
Peña Amarilla - GPRS,2021-04-02 11:30:00+00:00
Cuevo (GPRS),2021-04-06 00:15:00+00:00
Wila Cala (GPRS),2021-04-06 21:00:00+00:00
San Javier,2021-04-09 14:00:00+00:00
Potosi,2021-04-09 17:00:00+00:00
San Ignacio de Moxos,2021-04-11 12:00:00+00:00
Pasajes (GPRS),2021-04-12 00:30:00+00:00
Zurita (GPRS),2021-04-12 09:15:00+00:00
Rodeo (GPRS),2021-04-12 09:15:00+00:00
Caigua (GPRS),2021-04-12 12:00:00+00:00
Ascencion de Guarayos,2021-04-13 17:00:00+00:00
La Angostura_M (GPRS),2021-04-13 21:00:00+00:00
Comarapa (GPRS),2021-04-16 02:00:00+00:00
Pasorapa (GPRS),2021-04-20 13:15:00+00:00
Atulcha (GPRS),2021-04-20 14:00:00+00:00
Quillacas (GPRS),2021-04-20 14:00:00+00:00
Colcha-K (GPRS),2021-04-20 14:00:00+00:00
San Juan del Rosario (GPRS),2021-04-20 14:00:00+00:00
Orinoca - UTO (GPRS),2021-04-20 14:15:00+00:00
Alalay (GPRS),2021-04-20 14:15:00+00:00
Sacabamba (GPRS),2021-04-20 14:15:00+00:00
Tapacari (GPRS),2021-04-22 23:00:00+00:00
San Borja,2021-04-22 23:00:00+00:00
Parotani - Sipe Sipe (GPRS),2021-04-23 11:00:00+00:00
San Joaquin,2021-04-23 16:00:00+00:00
Villamontes,2021-04-23 18:00:00+00:00
Cuatro Cañadas (GPRS),2021-04-23 19:00:00+00:00
Pailon (GPRS),2021-04-23 19:00:00+00:00
S Julian - Nucleo 32 (GPRS),2021-04-23 19:00:00+00:00
San Julian (GPRS),2021-04-23 19:00:00+00:00
Cuatro Cañadas - CEA-2 (GPRS),2021-04-23 19:00:00+00:00
Yacuiba,2021-04-23 19:00:00+00:00
S Antonio - Los Angeles (GPRS),2021-04-23 19:45:00+00:00
Sauce Pilata - SDC (GPRS),2021-04-23 20:00:00+00:00
S Pedro - Rio Victoria (GPRS),2021-04-23 20:00:00+00:00
Puerto Suarez,2021-04-23 22:00:00+00:00
Laguna Tuni - GPRS,2021-04-24 05:00:00+00:00
Tarija,2021-04-24 16:00:00+00:00
San Jacinto_M (GPRS),2021-04-24 16:45:00+00:00
Vacas - SDC (GPRS),2021-04-24 17:00:00+00:00
Tacagua_M (GPRS),2021-04-24 17:00:00+00:00
Huacata_M (GPRS),2021-04-24 17:00:00+00:00
Vila Vila - SDC (GPRS),2021-04-24 17:00:00+00:00
Mizque - SDC (GPRS),2021-04-24 17:00:00+00:00
Temporal - SDC (GPRS),2021-04-24 17:00:00+00:00
Oruro,2021-04-24 17:00:00+00:00
Omereque - SDC (GPRS),2021-04-24 17:00:00+00:00
Tiraque_M (GPRS),2021-04-24 17:00:00+00:00
Vivero Chimboco - SDC (GPRS),2021-04-24 17:00:00+00:00
Pocona - SDC (GPRS),2021-04-24 17:00:00+00:00
Pojo - SDC (GPRS),2021-04-24 17:00:00+00:00
Vivero Viloma - SDC (GPRS),2021-04-24 17:00:00+00:00
Presa Calderas_M (GPRS),2021-04-24 17:30:00+00:00
Linkupata_M (GPRS),2021-04-24 17:45:00+00:00
Presa El Peral_M (GPRS),2021-04-24 17:45:00+00:00
Presa Yana Khakha_M (GPRS),2021-04-24 17:45:00+00:00
Toma Ravelo_H (GPRS),2021-04-24 17:45:00+00:00
Quila Quila_M (GPRS),2021-04-24 17:45:00+00:00
Ravelo_M (GPRS),2021-04-24 17:45:00+00:00
Cobija,2021-04-24 19:00:00+00:00
Cruce Culta (GPRS),2021-04-24 21:00:00+00:00
San Jose de Chiquitos,2021-04-24 22:00:00+00:00
Concepcion,2021-04-24 22:00:00+00:00
Incahuasi (GPRS),2021-04-24 22:00:00+00:00
Magdalena,2021-04-24 22:00:00+00:00
Reyes,2021-04-24 22:00:00+00:00
Riberalta,2021-04-24 23:00:00+00:00
Trinidad,2021-04-24 23:00:00+00:00
Camiri,2021-04-24 23:00:00+00:00
Robore,2021-04-24 23:00:00+00:00
Rurrenabaque,2021-04-24 23:00:00+00:00
Santa Ana - Yacuma,2021-04-24 23:00:00+00:00
San Ignacio de Velasco,2021-04-24 23:00:00+00:00
El Trompillo,2021-04-24 23:00:00+00:00
Cochabamba,2021-04-25 02:00:00+00:00
Ivirgarzama-Senda VI (GPRS),2021-04-25 02:00:00+00:00
El Villar (GPRS),2021-04-25 02:00:00+00:00
San Roque - El Alto (GPRS),2021-04-25 02:00:00+00:00
El Tranque (GPRS),2021-04-25 02:00:00+00:00
El Alto,2021-04-25 02:00:00+00:00
Aroma (GPRS),2021-04-25 02:00:00+00:00
Tomina (GPRS),2021-04-25 02:00:00+00:00
Villa Alcalá (GPRS),2021-04-25 02:00:00+00:00
Villa Serrano (GPRS),2021-04-25 02:00:00+00:00
Chachacomani-Batallas (GPRS),2021-04-25 02:00:00+00:00
Toledo (GPRS),2021-04-25 02:00:00+00:00
Sucre - GPRS,2021-04-25 02:15:00+00:00
Chipayas - GPRS,2021-04-25 02:15:00+00:00
Laykakota-GPRS,2021-04-25 02:15:00+00:00
Viru Viru,2021-04-25 02:18:00+00:00
